trial,rep,trt,formulation,root_sample,rate,strain,rel_abundance
IA03451,1,UTC,None,3,0,137-2253,0
IA03451,1,UTC,None,4,0,137-2253,0
IA03451,1,UTC,F1,7,0,6-5687,0
IA03451,1,UTC,F1,8,0,6-5687,0
IA03451,1,PROVEN40,None,2,1e2,137-2253,0
IA03451,1,PROVEN40,None,1,1e2,137-2253,0
IA03451,1,PROVEN40,F1,6,1e2,6-5687,0
IA03451,1,PROVEN40,F1,5,1e2,6-5687,0
IA03451,1,PROVEN40,F2,2,1e2,137-2253,0
IA03451,1,PROVEN40,F2,1,1e2,137-2253,0
IA03451,1,PROVEN40,F2,2,1e2,6-5687,0
IA03451,1,PROVEN40,F2,1,1e2,6-5687,0
IA03451,1,PROVEN40,None,6,1e3,137-2253,0
IA03451,1,PROVEN40,None,5,1e3,137-2253,1.04315e-4
IA03451,1,PROVEN40,F1,1,1e3,137-2253,4.3291e-4
IA03451,1,PROVEN40,F1,2,1e3,137-2253,0
IA03451,1,PROVEN40,F2,3,1e3,6-5687,0
IA03451,1,PROVEN40,F2,4,1e3,6-5687,0
IA03451,1,PROVEN40,F2,10,1e3,6-5687,0
IA03451,1,PROVEN40,F2,9,1e3,6-5687,0
IA03451,1,PROVEN40,F1,4,1e4,137-2253,0
IA03451,1,PROVEN40,F1,3,1e4,137-2253,0
IA03451,1,PROVEN40,F1,4,1e4,6-5687,0
IA03451,1,PROVEN40,F1,3,1e4,6-5687,0
IA03451,1,PROVEN40,F2,5,1e4,137-2253,0
IA03451,1,PROVEN40,F2,6,1e4,137-2253,0
IA03451,1,PROVEN40,F2,5,1e4,6-5687,0
IA03451,1,PROVEN40,F2,6,1e4,6-5687,0
IA03451,1,PROVEN40,F1,9,1e5,137-2253,0
IA03451,1,PROVEN40,F1,10,1e5,137-2253,0
IA03451,1,PROVEN40,F1,9,1e5,6-5687,0
IA03451,1,PROVEN40,F1,10,1e5,6-5687,0
IA03451,1,PROVEN40,F2,8,1e5,137-2253,0
IA03451,1,PROVEN40,F2,7,1e5,137-2253,0
IA03451,1,PROVEN40,F2,8,1e5,6-5687,0
IA03451,1,PROVEN40,F2,7,1e5,6-5687,0
IA03451,2,UTC,F2,19,0,137-2253,0
IA03451,2,UTC,F2,20,0,137-2253,0
IA03451,2,UTC,F2,19,0,6-5687,0
IA03451,2,UTC,F2,20,0,6-5687,0
IA03451,2,PROVEN40,F1,12,1e2,137-2253,0
IA03451,2,PROVEN40,F1,11,1e2,137-2253,0
IA03451,2,PROVEN40,F1,18,1e2,137-2253,0
IA03451,2,PROVEN40,F1,17,1e2,137-2253,0
IA03451,2,PROVEN40,F1,18,1e2,6-5687,0
IA03451,2,PROVEN40,F1,17,1e2,6-5687,0
IA03451,2,PROVEN40,F2,14,1e2,6-5687,0
IA03451,2,PROVEN40,F2,13,1e2,6-5687,0
IA03451,2,PROVEN40,None,7,1e3,6-5687,0
IA03451,2,PROVEN40,None,8,1e3,6-5687,0
IA03451,2,PROVEN40,F1,23,1e3,6-5687,0
IA03451,2,PROVEN40,F1,24,1e3,6-5687,0
IA03451,2,PROVEN40,F2,11,1e3,137-2253,0
IA03451,2,PROVEN40,F2,12,1e3,137-2253,0
IA03451,2,PROVEN40,F2,17,1e3,137-2253,0
IA03451,2,PROVEN40,F2,18,1e3,137-2253,0
IA03451,2,PROVEN40,None,10,1e4,6-5687,0
IA03451,2,PROVEN40,None,9,1e4,6-5687,0
IA03451,2,PROVEN40,F1,20,1e4,137-2253,0
IA03451,2,PROVEN40,F1,19,1e4,137-2253,0
IA03451,2,PROVEN40,F1,21,1e4,137-2253,0
IA03451,2,PROVEN40,F1,22,1e4,137-2253,0
IA03451,2,PROVEN40,F1,21,1e4,6-5687,0
IA03451,2,PROVEN40,F1,22,1e4,6-5687,0
IA03451,2,PROVEN40,F1,13,1e5,137-2253,1.41533e-4
IA03451,2,PROVEN40,F1,14,1e5,137-2253,0
IA03451,2,PROVEN40,F1,13,1e5,6-5687,5.66131e-4
IA03451,2,PROVEN40,F1,14,1e5,6-5687,0.001189513
IA03451,2,PROVEN40,F1,15,1e5,6-5687,0
IA03451,2,PROVEN40,F1,16,1e5,6-5687,0
IA03451,2,PROVEN40,F2,15,1e5,137-2253,0
IA03451,2,PROVEN40,F2,16,1e5,137-2253,0
IA03451,3,UTC,F2,21,0,137-2253,0
IA03451,3,UTC,F2,22,0,137-2253,0
IA03451,3,UTC,F2,21,0,6-5687,0
IA03451,3,UTC,F2,22,0,6-5687,0
IA03451,3,PROVEN40,None,11,1e2,6-5687,0
IA03451,3,PROVEN40,None,12,1e2,6-5687,0
IA03451,3,PROVEN40,F1,25,1e2,137-2253,0
IA03451,3,PROVEN40,F1,26,1e2,137-2253,0
IA03451,3,PROVEN40,F1,29,1e2,137-2253,0
IA03451,3,PROVEN40,F1,30,1e2,137-2253,0
IA03451,3,PROVEN40,F2,27,1e2,6-5687,0
IA03451,3,PROVEN40,F2,28,1e2,6-5687,0
IA03451,3,PROVEN40,F1,27,1e3,6-5687,0
IA03451,3,PROVEN40,F1,28,1e3,6-5687,0
IA03451,3,PROVEN40,F2,23,1e3,137-2253,0
IA03451,3,PROVEN40,F2,24,1e3,137-2253,0
IA03451,3,PROVEN40,F2,23,1e3,6-5687,0
IA03451,3,PROVEN40,F2,24,1e3,6-5687,0
IA03451,3,PROVEN40,F2,25,1e3,137-2253,0
IA03451,3,PROVEN40,F2,26,1e3,137-2253,0
IA03451,3,PROVEN40,None,15,1e4,137-2253,0.001167099
IA03451,3,PROVEN40,None,16,1e4,137-2253,9.06705e-4
IA03451,3,PROVEN40,None,17,1e4,6-5687,0
IA03451,3,PROVEN40,None,18,1e4,6-5687,0
IA03451,3,PROVEN40,F1,33,1e4,6-5687,0.001302808
IA03451,3,PROVEN40,F1,34,1e4,6-5687,7.83064e-4
IA03451,3,PROVEN40,F2,33,1e4,137-2253,2.60539e-4
IA03451,3,PROVEN40,F2,34,1e4,137-2253,0
IA03451,3,PROVEN40,None,13,1e5,6-5687,0
IA03451,3,PROVEN40,None,14,1e5,6-5687,0
IA03451,3,PROVEN40,F1,31,1e5,6-5687,0
IA03451,3,PROVEN40,F1,32,1e5,6-5687,0
IA03451,3,PROVEN40,F2,29,1e5,137-2253,0
IA03451,3,PROVEN40,F2,30,1e5,137-2253,0
IA03451,3,PROVEN40,F2,31,1e5,137-2253,0
IA03451,3,PROVEN40,F2,32,1e5,137-2253,0.001367498
IA03451,4,UTC,None,21,0,137-2253,0
IA03451,4,UTC,None,22,0,137-2253,0
IA03451,4,UTC,F1,35,0,6-5687,0
IA03451,4,UTC,F1,36,0,6-5687,0
IA03451,4,PROVEN40,None,23,1e2,137-2253,0
IA03451,4,PROVEN40,None,24,1e2,137-2253,0
IA03451,4,PROVEN40,F1,37,1e2,137-2253,0
IA03451,4,PROVEN40,F1,38,1e2,137-2253,0
IA03451,4,PROVEN40,F1,37,1e2,6-5687,0
IA03451,4,PROVEN40,F1,38,1e2,6-5687,0
IA03451,4,PROVEN40,F2,41,1e2,6-5687,0
IA03451,4,PROVEN40,F2,42,1e2,6-5687,0
IA03451,4,PROVEN40,F2,37,1e3,137-2253,0
IA03451,4,PROVEN40,F2,38,1e3,137-2253,0
IA03451,4,PROVEN40,F2,37,1e3,6-5687,0
IA03451,4,PROVEN40,F2,38,1e3,6-5687,0
IA03451,4,PROVEN40,F2,45,1e3,137-2253,0
IA03451,4,PROVEN40,F2,46,1e3,137-2253,0
IA03451,4,PROVEN40,F2,45,1e3,6-5687,0
IA03451,4,PROVEN40,F2,46,1e3,6-5687,0
IA03451,4,PROVEN40,F1,39,1e4,6-5687,0
IA03451,4,PROVEN40,F1,40,1e4,6-5687,0
IA03451,4,PROVEN40,F1,41,1e4,137-2253,0
IA03451,4,PROVEN40,F1,42,1e4,137-2253,0
IA03451,4,PROVEN40,F2,43,1e4,137-2253,0
IA03451,4,PROVEN40,F2,44,1e4,137-2253,0
IA03451,4,PROVEN40,F2,47,1e4,6-5687,0
IA03451,4,PROVEN40,F2,48,1e4,6-5687,0
IA03451,4,PROVEN40,None,19,1e5,6-5687,0
IA03451,4,PROVEN40,None,20,1e5,6-5687,0
IA03451,4,PROVEN40,F2,35,1e5,137-2253,0
IA03451,4,PROVEN40,F2,36,1e5,137-2253,0
IA03451,4,PROVEN40,F2,39,1e5,137-2253,0
IA03451,4,PROVEN40,F2,40,1e5,137-2253,0
IA03451,4,PROVEN40,F2,39,1e5,6-5687,0
IA03451,4,PROVEN40,F2,40,1e5,6-5687,0
IA03451,5,UTC,F1,47,0,6-5687,0
IA03451,5,UTC,F1,48,0,6-5687,0
IA03451,5,UTC,F2,57,0,137-2253,0
IA03451,5,UTC,F2,58,0,137-2253,0
IA03451,5,PROVEN40,None,25,1e2,137-2253,0
IA03451,5,PROVEN40,None,26,1e2,137-2253,0
IA03451,5,PROVEN40,F1,49,1e2,137-2253,0
IA03451,5,PROVEN40,F1,50,1e2,137-2253,0
IA03451,5,PROVEN40,F2,55,1e2,6-5687,0
IA03451,5,PROVEN40,F2,56,1e2,6-5687,0
IA03451,5,PROVEN40,F2,61,1e2,6-5687,0
IA03451,5,PROVEN40,F2,62,1e2,6-5687,0
IA03451,5,PROVEN40,F1,51,1e3,6-5687,0
IA03451,5,PROVEN40,F1,52,1e3,6-5687,0
IA03451,5,PROVEN40,F2,59,1e3,137-2253,0
IA03451,5,PROVEN40,F2,60,1e3,137-2253,0
IA03451,5,PROVEN40,F2,59,1e3,6-5687,4.40253e-4
IA03451,5,PROVEN40,F2,60,1e3,6-5687,0.002235372
IA03451,5,PROVEN40,F2,63,1e3,137-2253,0
IA03451,5,PROVEN40,F2,64,1e3,137-2253,0
IA03451,5,PROVEN40,F1,43,1e4,137-2253,0
IA03451,5,PROVEN40,F1,44,1e4,137-2253,0
IA03451,5,PROVEN40,F1,45,1e4,137-2253,0
IA03451,5,PROVEN40,F1,46,1e4,137-2253,0
IA03451,5,PROVEN40,F1,45,1e4,6-5687,0
